STATE ABBREVIATION,STATE,D,FEC ID#,CANDIDATE NAME (First),CANDIDATE NAME (Last),TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
CA,California,11,H4CA11123,Ki,Ingersol,,D,2313,
CA,California,11,H8CA07031,Virginia,Fuller,,W(AIP),140,
CA,California,11,n/a,,,District Votes:,,101368,174662
CA,California,12,H8CA05035,Nancy,Pelosi,,D,79816,160067
CA,California,12,H0CA08069,John,Dennis,,R,12922,32197
CA,California,12,H4CA12089,Barry,Hermanson,,GRE,6156,
CA,California,12,H0CA10172,David,Peterson,,D,3774,
CA,California,12,H4CA12113,Frank,Lara,,PAF,2107,
CA,California,12,H4CA12139,Michael,Steger,,D,1514,
CA,California,12,H4CA12121,A. J. "Desmond",Thorsson,,NOP,1270,
CA,California,12,H4CA12147,Jim,Welles,,NOP,879,
CA,California,12,n/a,,,District Votes:,,108438,192264
CA,California,13,H8CA09060,Barbara,Lee,,D,77461,168491
CA,California,13,H4CA13087,Dakin,Sundeen,,R,9533,21940
CA,California,13,H0CA13093,Justin,Jelincic,,D,4602,
CA,California,13,H0CA09091,Lawrence N.,Allen,,PAF,2190,
CA,California,13,n/a,,,District Votes:,,93786,190431
CA,California,14,H8CA12171,Jackie,Speier,,D,66800,114389
CA,California,14,H4CA18060,Robin,Chew,,R,19482,34757
CA,California,14,n/a,,,District Votes:,,86282,149146
CA,California,15,H2CA15094,Eric,Swalwell,,D,42419,99756
CA,California,15,H4CA15066,Hugh,Bussell,,R,22228,43150
CA,California,15,H2CA15086,Ellen M.,Corbett,,D,21798,
CA,California,15,n/a,,,District Votes:,,86445,142906
CA,California,16,H4CA20082,Jim,Costa,,D,25586,46277
CA,California,16,H2CA16100,Johnny,Tacherra,,R,12542,44943
CA,California,16,H4CA16148,Steve,Crass,,R,8877,
CA,California,16,H4CA16122,Mel,Levey,,R,4565,
CA,California,16,H4CA16106,Joanna,Garcia-Botelho,,R,3827,
CA,California,16,H4CA16130,Job,Melton,,D,2370,
CA,California,16,n/a,,,District Votes:,,57767,91220
CA,California,17,H0CA15148,Mike,Honda,,D,43607,69561
CA,California,17,H4CA12055,Ro,Khanna,,D,25384,64847
CA,California,17,H4CA17294,Vanila,Singh,,R,15359,
CA,California,17,H4CA17302,Joel,VanLandingham,,R,6154,
CA,California,17,n/a,,,District Votes:,,90504,134408
CA,California,18,H8CA12098,Anna G.,Eshoo,,D,81295,133060
CA,California,18,H4CA18094,Richard B.,Fox,,R,27111,63326
CA,California,18,H4CA18086,Bruce,Anderson,,R,9644,
CA,California,18,H4CA18102,Oscar Alejandro,Braun,,R,2190,
CA,California,18,n/a,,,District Votes:,,120240,196386
CA,California,19,H4CA16049,Zoe,Lofgren,,D,63845,85888
CA,California,19,H2CA19112,Robert,Murray,,D,20132,41900
CA,California,19,n/a,,,District Votes:,,83977,127788
CA,California,20,H4CA17021,Sam,Farr,,D,67528,106034
CA,California,20,H0CA17185,Ronald Paul,Kabat,,NOP,23950,35010
CA,California,20,n/a,,,District Votes:,,91478,141044
CA,California,21,H2CA20094,David,Valadao,,R,28773,45907
CA,California,21,H4CA21072,Amanda,Renteria,,D,11682,33470
CA,California,21,H0CA19082,John S.,Hernandez,,D,5232,
CA,California,21,n/a,,,District Votes:,,45687,79377
CA,California,22,H8CA20059,Devin G.,Nunes,,R,60499,96053
CA,California,22,H4CA22104,Suzanna "Sam",Augilera-Marrero,,D,22198,37289
CA,California,22,H4CA22112,John P.,Catano,,R,6403,
CA,California,22,n/a,,,District Votes:,,89100,133342
CA,California,23,H6CA22125,Kevin,McCarthy,,R,58334,100317
CA,California,23,H4CA23151,Raul,Garcia,,D,313,33726
CA,California,23,H4CA23169,Mike,Biglay,,W(R),157,
