STATE ABBREVIATION,STATE,D,FEC ID#,CANDIDATE NAME (First),CANDIDATE NAME (Last),TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
ID,Idaho,2,n/a,,,Party Votes:,R,78895,
ID,Idaho,2,H2ID02018,Richard ,Stallings,,D,14547,82801
ID,Idaho,2,n/a,,,Party Votes:,D,14547,
ID,Idaho,2,n/a,,,District Votes:,,93442,214293
ID,Idaho,H,n/a,,,Total State Votes:,,176011,435157
ID,Idaho,,n/a,,,,,,
ID,Idaho,,n/a,,,,,,
,,,n/a,,,,,,
IL,Illinois,1,H2IL01042,Bobby L.,Rush,,D,47627,162268
IL,Illinois,1,n/a,,,Party Votes:,D,47627,
IL,Illinois,1,H2IL01182,Jimmy Lee,Tillman,,R,17188,59749
IL,Illinois,1,n/a,,,Party Votes:,R,17188,
IL,Illinois,1,n/a,,,District Votes:,,64815,222017
IL,Illinois,,n/a,,,,,,
IL,Illinois,2,H4IL02343 ,Robin ,Kelly,,D,40286,160337
IL,Illinois,2,n/a,,,Party Votes:,D,40286,
IL,Illinois,2,H4IL02301,Eric M.,Wallace,,R,16096,43799
IL,Illinois,2,n/a,,,Party Votes:,R,16096,
IL,Illinois,2,H2IL02156,Marcus,Lewis,,W,,130
IL,Illinois,2,n/a,,,District Votes:,,56382,204266
IL,Illinois,,n/a,,,,,,
IL,Illinois,3,H4IL03077,Daniel William ,Lipinski,,D,28883,116764
IL,Illinois,3,n/a,,,Party Votes:,D,28883,
IL,Illinois,3,H4IL03093,Sharon M.,Brannigan,,R,18358,64091
IL,Illinois,3,H2IL11132,Diane M.,Harris,,R,10937,
IL,Illinois,3,n/a,,,Party Votes:,R,29295,
IL,Illinois,3,n/a,,,District Votes:,,58178,180855
IL,Illinois,,n/a,,,,,,
IL,Illinois,4,H2IL08039 ,Luis V.,Gutierrez,,D,21625,79666
IL,Illinois,4,H4IL04083 ,Alexander,Eidenberg,,D,4796,
IL,Illinois,4,H4IL04091,Jorge Gerardo,Zavala,,D,2670,
IL,Illinois,4,n/a,,,Party Votes:,D,29091,
IL,Illinois,4,H2IL04145,Hector ,Concepcion,,R,6637,22278
IL,Illinois,4,n/a,,,Party Votes:,R,6637,
IL,Illinois,4,n/a,,,District Votes:,,35728,101944
IL,Illinois,,n/a,,,,,,
IL,Illinois,5,H0IL05096,Mike,Quigley,,D,26364,116364
IL,Illinois,5,n/a,,,Party Votes:,D,26364,
IL,Illinois,5,H6IL05150,Vince,Kolber,,R,,56350
IL,Illinois,5,H4IL05155 ,Fredrick K.,White,,W(R),21,
IL,Illinois,5,n/a,,,Party Votes:,R,21,
IL,Illinois,5,H2IL05183,Nancy ,Wade,,GRE,153,11305
IL,Illinois,5,n/a,,,Party Votes:,GRE,153,
IL,Illinois,5,n/a,,,District Votes:,,26538,184019
IL,Illinois,6,H6IL06117 ,Peter J. ,Roskam,,R,65332,160287
IL,Illinois,6,n/a,,,Party Votes:,R,65332,
IL,Illinois,6,H4IL06104 ,Michael,Mason,,D,8615,78465
IL,Illinois,6,n/a,,,Party Votes:,D,8615,
IL,Illinois,6,n/a,,,District Votes:,,73947,238752
IL,Illinois,7,H4IL07037,Danny K.,Davis,,D,43061,155110
IL,Illinois,7,n/a,,,Party Votes:,D,43061,
IL,Illinois,7,H4IL07151,Robert L. ,Bumpers,,R,7289,27168
IL,Illinois,7,n/a,,,Party Votes:,R,7289,
IL,Illinois,7,n/a,,,District Votes:,,50350,182278
IL,Illinois,8,H6IL06141 ,Tammy,Duckworth,,D,10661,84178
IL,Illinois,8,n/a,,,Party Votes:,D,10661,
IL,Illinois,8,H4IL08126,Larry,Kaifesh,,R,24657,66878
IL,Illinois,8,H4IL08118 ,Manju,Goel,,R,9827,
IL,Illinois,8,n/a,,,Party Votes:,R,34484,
IL,Illinois,8,n/a,,,District Votes:,,45145,151056
IL,Illinois,9,H8IL09067,Janice D.,Schakowsky,,D,31576,141000
IL,Illinois,9,n/a,,,Party Votes:,D,31576,
IL,Illinois,9,H0IL09080,Susanne,Atanus,,R,15575,72384
IL,Illinois,9,H4IL09074 ,'David Earl, III',Williams,,R,14148,
IL,Illinois,9,n/a,,,Party Votes:,R,29723,
IL,Illinois,9,H6IL10127,Phil,Collins,,W,,66
IL,Illinois,9,n/a,,,District Votes:,,61299,213450
IL,Illinois,10,H0IL10302 ,Robert,Dold,,R,32124,95992
IL,Illinois,10,n/a,,,Party Votes:,R,32124,
IL,Illinois,10,H2IL10068 ,Brad,Schneider,,D,11945,91136
IL,Illinois,10,n/a,,,Party Votes:,D,11945,
IL,Illinois,10,n/a,,,District Votes:,,44069,187128
IL,Illinois,,n/a,,,,,,
IL,Illinois,11,H8IL14067 ,Bill ,Foster,,D,12461,93436
IL,Illinois,11,n/a,,,Party Votes:,D,12461,
IL,Illinois,11,H4IL11195 ,Darlene,Senger,,R,13290,81335
IL,Illinois,11,H4IL11203 ,Chris ,Balkema,,R,12024,
IL,Illinois,11,H4IL11237 ,Bert,Miller,,R,9460,
IL,Illinois,11,H4IL11211 ,Ian,Bayne,,R,1253,
IL,Illinois,11,n/a,,,Party Votes:,R,36027,
IL,Illinois,11,H6IL18146,Constant "Connor",Vlakancic,,W,,1
IL,Illinois,11,n/a,,,District Votes:,,48488,174772
IL,Illinois,,n/a,,,,,,
IL,Illinois,12,H4IL12060,Mike,Bost,,R,33066,110038
IL,Illinois,12,n/a,,,Party Votes:,R,33066,
IL,Illinois,12,H2IL12122 ,William L. "Bill" ,Enyart,,D,31015,87860
IL,Illinois,12,n/a,,,Party Votes:,D,31015,
IL,Illinois,12,H2IL12130,Paula,Bradshaw,,GRE,120,11840
IL,Illinois,12,n/a,,,Party Votes:,GRE,120,
IL,Illinois,12,n/a,,,District Votes:,,64201,209738
IL,Illinois,13,H2IL13120 ,Rodney,Davis,,R,27816,123337
IL,Illinois,13,H4IL13191 ,Erika ,Harold,,R,20951,
IL,Illinois,13,H0IL19048,Michael ,Firsching,,R,2147,
IL,Illinois,13,n/a,,,Party Votes:,R,50914,
IL,Illinois,13,H4IL13175,Ann E.,Callis,,D,17322,86935
IL,Illinois,13,H4IL13209 ,George,Gollin,,D,9935,
IL,Illinois,13,H4IL13217 ,David L.,Green,,D,4438,
IL,Illinois,13,n/a,,,Party Votes:,D,31695,
IL,Illinois,13,n/a,,,District Votes:,,82609,210272
IL,Illinois,14,H0IL14080 ,Randall M. "Randy" ,Hultgren,,R,57665,145369
IL,Illinois,14,n/a,,,Party Votes:,R,57665,
IL,Illinois,14,H2IL14078,Dennis,Anderson,,D,5184,76861
IL,Illinois,14,H4IL14124,John J.,Hosta,,D,2691,
IL,Illinois,14,n/a,,,Party Votes:,D,7875,
IL,Illinois,14,n/a,,,District Votes:,,65540,222230
IL,Illinois,15,H2IL20042 ,John M.,Shimkus,,R,66453,166274
IL,Illinois,15,n/a,,,Party Votes:,R,66453,
IL,Illinois,15,H4IL15071 ,Eric,Thorsland,,D,17108,55652
IL,Illinois,15,n/a,,,Party Votes:,D,17108,
IL,Illinois,15,n/a,,,District Votes:,,83561,221926
IL,Illinois,16,H0IL11052 ,Adam ,Kinzinger,,R,56593,153388
IL,Illinois,16,H4IL16020 ,'David J., Jr.',Hale,,R,15558,
IL,Illinois,16,n/a,,,Party Votes:,R,72151,
IL,Illinois,16,H4IL00032 ,Randall Wayne ,Olsen,,D,12077,63810
IL,Illinois,16,n/a,,,Party Votes:,D,12077,
IL,Illinois,16,n/a,,,District Votes:,,84228,217198
IL,Illinois,17,H2IL17071,Cheri ,Bustos,,D,21923,110560
IL,Illinois,17,n/a,,,Party Votes:,D,21923,
IL,Illinois,17,H0IL17059 ,Bobby,Schilling,,R,41063,88785
IL,Illinois,17,n/a,,,Party Votes:,R,41063,
IL,Illinois,17,H4IL17077,Bill,Fawell,,W,,16
IL,Illinois,17,n/a,,,District Votes:,,62986,199361
IL,Illinois,,n/a,,,,,,
IL,Illinois,18,H8IL18043 ,Aaron ,Schock,,R,82412,184363
IL,Illinois,18,n/a,,,Party Votes:,R,82412,
IL,Illinois,18,H4IL18117,Darrel,Miller,,D,6763,62377
IL,Illinois,18,H4IL18109,Rob ,Mellon,,D,5692,
IL,Illinois,18,n/a,,,Party Votes:,D,12455,
IL,Illinois,18,n/a,,,District Votes:,,94867,246740
IL,Illinois,H,n/a,,,Total State Votes:,,1102931,3568002
IL,Illinois,,n/a,,,,,,
,,,n/a,,,,,,
IN,Indiana,1,H4IN01012 ,Peter J.,Visclosky,,D,34446,86579
IN,Indiana,1,n/a,,,Party Votes:,D,34446,
IN,Indiana,1,H8IN01096,Mark ,Leyva,,R,12738,51000
IN,Indiana,1,n/a,,,Party Votes:,R,12738,
IN,Indiana,1,H4IN01152,Donna T.,Dunn,,LIB,*,4714
IN,Indiana,1,n/a,,,District Votes:,,47184,142293
IN,Indiana,,n/a,,,,,,
IN,Indiana,2,H0IN02190 ,Jackie,Walorski,,R,28641,85583
IN,Indiana,2,n/a,,,Party Votes:,R,28641,
IN,Indiana,2,H4IN02135 ,Joe,Bock,,D,11103,55590
IN,Indiana,2,H2IN02238 ,Dan,Morrison,,D,3540,
IN,Indiana,2,H4IN02143 ,Bob,Kern,,D,2634,
IN,Indiana,2,H4IN02150,Douglas M.,Carpenter,,D,1837,
IN,Indiana,2,n/a,,,Party Votes:,D,19114,
IN,Indiana,2,H4IN02168,Jeff,Petermann,,LIB,*,4027
IN,Indiana,2,n/a,,,District Votes:,,47755,145200
IN,Indiana,,n/a,,,,,,
IN,Indiana,3,H0IN03198 ,Marlin A.,Stutzman,,R,48837,102889
IN,Indiana,3,H4IN03117,Mark William,Baringer,,R,5868,
IN,Indiana,3,H4IN03109,'James (Jim) E., III',Mahoney,,R,5094,
IN,Indiana,3,n/a,,,Party Votes:,R,59799,
IN,Indiana,3,H2IN03152 ,Justin ,Kuhnle,,D,2893,39771
IN,Indiana,3,H6IN03187,Tommy A.,Schrader,,D,2805,
IN,Indiana,3,H4IN03091,Jim ,Redmond,,D,2597,
IN,Indiana,3,n/a,,,Party Votes:,D,8295,
IN,Indiana,3,H8IN03068,Scott,Wise,,LIB,*,6133
IN,Indiana,3,n/a,,,District Votes:,,68094,148793
IN,Indiana,,n/a,,,,,,
IN,Indiana,4,H0IN04170,Todd,Rokita,,R,43179,94998
IN,Indiana,4,H4IN04180 ,Kevin J. ,Grant,,R,17472,
IN,Indiana,4,n/a,,,Party Votes:,R,60651,
IN,Indiana,4,H4IN04172,John ,Dale,,D,3742,47056
IN,Indiana,4,H4IN04230,Roger D.,Day,,D,2266,
IN,Indiana,4,H4IN04214 ,Jeffery Oliver,Blaydes,,D,1332,
IN,Indiana,4,H4IN04206,Howard Joseph ,Pollchik,,D,778,
IN,Indiana,4,H4IN04222,John L. ,Futrell,,D,754,
IN,Indiana,4,n/a,,,Party Votes:,D,8872,
IN,Indiana,4,n/a,,,District Votes:,,69523,142054
IN,Indiana,,n/a,,,,,,
IN,Indiana,5,H2IN05082 ,Susan ,Brooks,,R,34996,105277
IN,Indiana,5,H4IN05104 ,David S. ,Stockdale,,R,7327,
IN,Indiana,5,H4IN05146,David M. (Mike),Campbell,,R,5790,
IN,Indiana,5,n/a,,,Party Votes:,R,48113,
IN,Indiana,5,H4IN05120 ,Shawn A.,Denney,,D,6141,49756
IN,Indiana,5,H4IN05138 ,David William ,Ford,,D,4856,
IN,Indiana,5,H4IN05112 ,Allen Ray ,Davidson,,D,3660,
IN,Indiana,5,n/a,,,Party Votes:,D,14657,
IN,Indiana,5,H4IN05153,John,Krom,,LIB,*,6407
IN,Indiana,5,n/a,,,,,,
IN,Indiana,5,n/a,,,District Votes:,,62770,161440
IN,Indiana,,n/a,,,,,,
IN,Indiana,6,H0IN02125 ,Luke,Messer,,R,49094,102187
IN,Indiana,6,n/a,,,Party Votes:,R,49094,
IN,Indiana,6,H2IN06239,Susan Hall,Heitzman,,D,9078,45509
IN,Indiana,6,H2IN06189,Lane,Siekman,,D,5574,
IN,Indiana,6,H4IN06102,Corinne Nicole,Westerfield,,D,4151,
IN,Indiana,6,n/a,,,Party Votes:,D,18803,
IN,Indiana,6,H4IN06110,Eric,Miller,,LIB,*,7375
IN,Indiana,6,n/a,,,District Votes:,,67897,155071
IN,Indiana,,n/a,,,,,,
IN,Indiana,7,H8IN07184,André ,Carson,,D,19446,61443
IN,Indiana,7,H4IN07159,Curtis,Godfrey,,D,1209,
IN,Indiana,7,H6IN10174 ,Mmoja,Ajabu,,D,782,
IN,Indiana,7,H6IN07337,Pierre Quincy,Pullins,,D,390,
IN,Indiana,7,n/a,,,Party Votes:,D,21827,
IN,Indiana,7,H8IN07259,Catherine (Cat),Ping,,R,4882,46887
IN,Indiana,7,H8IN07150,Wayne "Gunny",Harmon,,R,3258,
IN,Indiana,7,H2IN07096,J D ,Miniear,,R,2840,
IN,Indiana,7,H4IN07142 ,Gordon ,Smith,,R,1872,
IN,Indiana,7,H4IN07175 ,Erin Kent,Magee,,R,1057,
IN,Indiana,7,n/a,,,Party Votes:,R,13909,
IN,Indiana,7,H4IN07183,Chris,Mayo,,LIB,*,3931
IN,Indiana,7,n/a,,,District Votes:,,35736,112261
IN,Indiana,,n/a,,,,,,
IN,Indiana,8,H0IN08114,Larry D.,Bucshon,,R,30967,103344
IN,Indiana,8,H4IN08199,Andrew T.,McNeil,,R,10405,
IN,Indiana,8,n/a,,,Party Votes:,R,41372,
IN,Indiana,8,H4IN08207 ,Tom ,Spangler,,D,23055,61384
IN,Indiana,8,n/a,,,Party Votes:,D,23055,
IN,Indiana,8,H2IN07088,Andrew,Horning,,LIB,*,6587
IN,Indiana,8,n/a,,,District Votes:,,64427,171315
IN,Indiana,,n/a,,,,,,
IN,Indiana,9,H0IN09070 ,Todd,Young,,R,30402,101594
IN,Indiana,9,H4IN09106,Kathy Lowe ,Heil,,R,4607,
IN,Indiana,9,H4IN09114 ,Mark G.,Jones,,R,3293,
IN,Indiana,9,n/a,,,Party Votes:,R,38302,
IN,Indiana,9,H4IN09072,Bill,Bailey,,D,10394,55016
IN,Indiana,9,H0IN09104,'James R., Jr.',McClure,,D,5737,
IN,Indiana,9,H4IN09080 ,J. S. ,Miller,,D,3561,
IN,Indiana,9,H4IN09098,William Joseph (Billy),Thomas,,D,3206,
IN,Indiana,9,n/a,,,Party Votes:,D,22898,
IN,Indiana,9,H4IN09130,R. Mike,Frey,,LIB,*,5777
IN,Indiana,9,n/a,,,District Votes:,,61200,162387
IN,Indiana,,n/a,,,,,,
IN,Indiana,H,n/a,,,Total State Votes:,,524586,1340814
IN,Indiana,,n/a,,,,,,
,,,n/a,,,,,,
IA,Iowa,1,H2IA01055,Rod,Blum,,R,16886,147762
IA,Iowa,1,H0IA02099,Steve ,Rathje,,R,11420,
IA,Iowa,1,H2IA04091,Gail E.,Boliver,,R,2413,
IA,Iowa,1,n/a,,Scattered,,W(R),42,
IA,Iowa,1,n/a,,,Party Votes:,R,30761,
IA,Iowa,1,H4IA01069 ,Pat,Murphy,,D,10189,141145
IA,Iowa,1,H4IA01077 ,Monica,Vernon,,D,6559,
IA,Iowa,1,H4IA01093 ,Swati,Dandekar,,D,5076,
IA,Iowa,1,H4IA01101 ,Anesa ,Kajtazovic,,D,4067,
IA,Iowa,1,H4IA01085 ,Dave ,'O''Brien',,D,1846,
IA,Iowa,1,n/a,,Scattered,,W(D),18,
IA,Iowa,1,n/a,,,Party Votes:,D,27755,
IA,Iowa,1,n/a,,Scattered,,W,,399
IA,Iowa,1,n/a,,,District Votes:,,58516,289306
IA,Iowa,,n/a,,,,,,
IA,Iowa,2,H6IA02146 ,Dave,Loebsack,,D,17154,143431
IA,Iowa,2,n/a,,Scattered,,W(D),117,
IA,Iowa,2,n/a,,,Party Votes:,D,17271,
IA,Iowa,2,H8IA02043 ,Mariannette ,Miller-Meeks,,R,15043,129455
IA,Iowa,2,H4IA02042 ,Mark S.,Lofgren,,R,11634,
IA,Iowa,2,H4IA02059,Matthew C.,Waldren,,R,3746,
IA,Iowa,2,n/a,,Scattered,,W(R),52,
IA,Iowa,2,n/a,,,Party Votes:,R,30475,
IA,Iowa,2,n/a,,Scattered,,W,,443
IA,Iowa,2,n/a,,,District Votes:,,47746,273329
IA,Iowa,,n/a,,,,,,
IA,Iowa,3,H4IA03115 ,David,Young,,R,6604,148814
IA,Iowa,3,H0IA03139 ,Brad,Zaun,,R,10522,
IA,Iowa,3,H4IA03099 ,Robert ,Cramer,,R,9032,
IA,Iowa,3,H4IA03081,Matt,Schultz,,R,8464,
IA,Iowa,3,H4IA03107 ,Monte,Shaw,,R,7220,
IA,Iowa,3,H4IA03123 ,Joe,Grandanette,,R,661,
IA,Iowa,3,n/a,,Scattered,,W(R),42,
IA,Iowa,3,n/a,,,Party Votes:,R,42545,
IA,Iowa,3,H4IA03065 ,Staci,Appel,,D,9233,119109
IA,Iowa,3,n/a,,Scattered,,W(D),75,
IA,Iowa,3,n/a,,,Party Votes:,D,9308,
IA,Iowa,3,H4IA03131,Edward B.,Wright,,LIB,,9054
IA,Iowa,3,H4IA03149,Bryan Jack,Holder,,NNE,,4360
IA,Iowa,3,n/a,,,,,,
IA,Iowa,3,n/a,,Scattered,,W,,729
IA,Iowa,3,n/a,,,District Votes:,,51853,282066
IA,Iowa,4,H2IA05072 ,Steve ,King,,R,43098,169834
IA,Iowa,4,n/a,,Scattered,,W(R),382,
IA,Iowa,4,n/a,,,Party Votes:,R,43480,
IA,Iowa,4,H4IA04113 ,Jim,Mowrer,,D,9900,105504
IA,Iowa,4,n/a,,Scattered,,W(D),42,
IA,Iowa,4,n/a,,,Party Votes:,D,9942,
IA,Iowa,4,n/a,,Scattered,,W,,295
IA,Iowa,4,n/a,,,District Votes:,,53422,275633
IA,Iowa,H,n/a,,,Total State Votes:,,211537,1120334
IA,Iowa,,n/a,,,,,,
,,,n/a,,,,,,
KS,Kansas,1,H6KS01146,Tim,Huelskamp,,R ,42847,138764
KS,Kansas,1,H4KS01059,Alan,LaPolice,,R ,35108,
KS,Kansas,1,n/a,,,Party Votes:,R,77955,
KS,Kansas,1,H4KS01075,James E.,Sherow,,D,8209,65397
KS,Kansas,1,H4KS01042,Bryan R.,Whitney,,D,4293,
KS,Kansas,1,n/a,,,Party Votes:,D,12502,
KS,Kansas,1,n/a,,,District Votes:,,90457,204161
KS,Kansas,2,H8KS02090,Lynn,Jenkins,,R ,41850,128742
KS,Kansas,2,H4KS02131,Joshua Joel,Tucker,,R ,18680,
KS,Kansas,2,n/a,,,Party Votes:,R,60530,
KS,Kansas,2,H4KS02115,Margie,Wakefield,,D,18337,87153
KS,Kansas,2,n/a,,,Party Votes:,D,18337,
KS,Kansas,2,H4KS02123,Christopher ,Clemmons,,LIB,*,9791
KS,Kansas,2,n/a,,,District Votes:,,78867,225686
KS,Kansas,3,H0KS03137,Kevin,Yoder,,R ,47319,134493
KS,Kansas,3,n/a,,,Party Votes:,R,47319,
KS,Kansas,3,H4KS03188,Kelly,Kultala,,D,14189,89584
KS,Kansas,3,H4KS03170,Reginald (Reggie),Marselus,,D,6524,
KS,Kansas,3,n/a,,,Party Votes:,D,20713,
KS,Kansas,3,n/a,,,District Votes:,,68032,224077
KS,Kansas,4,H0KS04051,Mike,Pompeo,,R,43564,138757
KS,Kansas,4,H4KS04087,Todd,Tiahrt,,R,25977,
KS,Kansas,4,n/a,,,Party Votes:,R,69541,
KS,Kansas,4,H4KS04111,Perry L.,Schuckman,,D,11408,69396
KS,Kansas,4,n/a,,,Party Votes:,D,11408,
KS,Kansas,4,n/a,,,District Votes:,,80949,208153
KS,Kansas,H,n/a,,,Total State Votes:,,318305,862077
KS,Kansas,,n/a,,,,,,
,,,n/a,,,,,,
KY,Kentucky,1,H4KY01040,Ed,Whitfield,,R,Unopposed,173022
KY,Kentucky,1,H4KY01016,Charles Kendall,Hatchett,,D,38055,63596
KY,Kentucky,1,H4KY01065,Wesley Seaton,Bolin,,D,30528,
KY,Kentucky,1,n/a,,,Party Votes:,D,68583,
KY,Kentucky,1,n/a,,,District Votes:,,68583,236618
KY,Kentucky,2,H8KY02031,S. Brett,Guthrie,,R,Unopposed,156936
KY,Kentucky,2,H4KY02089,Ron,Leach,,D,Unopposed,69898
KY,Kentucky,2,n/a,,,District Votes:,,,226834
KY,Kentucky,3,H6KY03124,John A.,Yarmuth,,D,52026,157056
KY,Kentucky,3,H4KY03236,E. Ray,Pierce,,D,7747,
KY,Kentucky,3,n/a,,,Party Votes:,D,59773,
KY,Kentucky,3,H4KY03210,Michael,Macfarlane,,R,Unopposed,87981
KY,Kentucky,3,H4KY03244,Gregory Peter,Puccetti,,IND,Unopposed,2318
KY,Kentucky,3,n/a,,,District Votes:,,59773,247355
KY,Kentucky,4,H2KY04121,Thomas,Massie,,R,Unopposed,150464
KY,Kentucky,4,H8KY06065,Peter,Newberry,,D,Unopposed,71694
KY,Kentucky,4,n/a,,,District Votes:,,,222158
KY,Kentucky,5,H0KY05015,Harold "Hal" ,Rogers,,R,Unopposed,171350
KY,Kentucky,5,H6KY05111,Kenneth S. ,Stepp,,D,38949,47617
KY,Kentucky,5,H2KY05136,Billy Ray,Wilson,,D,27246,
KY,Kentucky,5,n/a,,,Party Votes:,D,66195,
KY,Kentucky,5,n/a,,,District Votes:,,66195,218967
KY,Kentucky,6,H0KY06104,Andy,Barr,,R,Unopposed,147404
KY,Kentucky,6,H4KY06130,Elisabeth,Jensen,,D,46727,98290
KY,Kentucky,6,H4KY06163,Geoffrey M. "Geoff",Young,,D,30035,
KY,Kentucky,6,n/a,,,Party Votes:,D,76762,
KY,Kentucky,6,n/a,,,District Votes:,,76762,245694
KY,Kentucky,H,n/a,,,Total State Votes:,,271313,1397626
,,,n/a,,,,,,
LA,Louisiana,1,H0LA01087,Steve,Scalise,,R,n/a,189250
LA,Louisiana,1,H6LA02173,M.V. "Vinny",Mendoza,,D,n/a,24761
LA,Louisiana,1,H4LA01147 ,Lee A.,Dugas,,D,n/a,21286
LA,Louisiana,1,H4LA01139,Jeffry "Jeff",Sanford,,LIB,n/a,8707
LA,Louisiana,1,n/a,,,District Votes:,,,244004
LA,Louisiana,2,H8LA02054,Cedric,Richmond,,D,n/a,152201
LA,Louisiana,2,H2LA02107,Gary,Landrieu,,D,n/a,37805
LA,Louisiana,2,H4LA02103 ,David,Brooks,,NPA,n/a,16327
LA,Louisiana,2,H4LA02087,Samuel,Davenport,,LIB,n/a,15237
LA,Louisiana,2,n/a,,,District Votes:,,,221570
LA,Louisiana,3,H4LA07029,'Charles W., Jr.',Boustany,,R,n/a,185867
LA,Louisiana,3,H4LA03119,Russell,Richard,,NPA,n/a,28342
LA,Louisiana,3,H2LA03063,Bryan,Barrilleaux,,R,n/a,22059
LA,Louisiana,3,n/a,,,District Votes:,,,236268
LA,Louisiana,4,H8LA04225,John,Fleming,,R,n/a,152683
LA,Louisiana,4,H2LA04129,Randall,Lord,,LIB,n/a,55236
LA,Louisiana,4,n/a,,,District Votes:,,,207919
LA,Louisiana,5,H4LA05221,Ralph Lee,Abraham,,R,n/a,55489
LA,Louisiana,5,H4LA05080 ,"Jamie",Mayo,,D,n/a,67611
LA,Louisiana,5,H4LA05247,"Zach",Dasher,,R,n/a,53628
LA,Louisiana,5,H4AL05130,Vance M.,McAllister,,R,n/a,26606
LA,Louisiana,5,H0LA08017,Clyde C.,Holloway,,R,n/a,17877
LA,Louisiana,5,H4LA05239,Harris,Brown,,R,n/a,9890
LA,Louisiana,5,H4LA05213,"Ed",Tarpley,,R,n/a,4594
LA,Louisiana,5,H4LA05262,Charles,Saucier,,LIB,n/a,2201
LA,Louisiana,5,H4LA05098,Eliot S.,Barron,,GRE,n/a,1655
LA,Louisiana,5,n/a,,,District Votes:,,,239551
LA,Louisiana,6,H4LA06153,Garret,Graves,,R,n/a,70715
LA,Louisiana,6,H4LA06161,Edwin,Edwards,,D,n/a,77866
LA,Louisiana,6,H4LA06088,'Paul, II',Dietzel,,R,n/a,35024
LA,Louisiana,6,H4LA06112,"Dan",Claitor,,R,n/a,26524
LA,Louisiana,6,H4LA06179,Lenar,Whitney,,R,n/a,19151
LA,Louisiana,6,H4LA06062,Richard,Lieberman,,D,n/a,7309
LA,Louisiana,6,H4LA06146,Craig,McCulloch,,R,n/a,5815
LA,Louisiana,6,H6LA07081,Robert Lamar "Bob",Bell,,R,n/a,5182
LA,Louisiana,6,H4LA05171,Peter,Williams,,D,n/a,4037
LA,Louisiana,6,H4LA06047,'Rufus Holt, Jr.',Craig,,LIB,n/a,3561
LA,Louisiana,6,H4LA06138,Norman "Norm",Clark,,R,n/a,1848
LA,Louisiana,6,H4LA06120,"Trey",Thomas,,R,n/a,1447
LA,Louisiana,6,n/a,,,District Votes:,,,258479
LA,Louisiana,H,n/a,,,Total State Votes:,,,1407791
LA,Louisiana,,n/a,,,,,,
,,,n/a,,,,,,
ME,Maine,1,H8ME01120 ,Chellie,Pingree,,D,30950,186674
ME,Maine,1,n/a,,,Party Votes:,D,30950,
ME,Maine,1,H4ME01137,Isaac J. ,Misiuk,,R,17061,94751
ME,Maine,1,n/a,,,Party Votes:,R,17061,
ME,Maine,1,H4ME00014,Richard P.,Murphy,,IND,,27410
ME,Maine,1,n/a,,Others,,W,,63
ME,Maine,1,n/a,,,District Votes:,,48011,308898
ME,Maine,,n/a,,,,,,
ME,Maine,2,H4ME02234,Bruce ,Poliquin,,R,19736,133308
ME,Maine,2,H2ME02071 ,Kevin L.,Raye,,R,14987,
ME,Maine,2,n/a,,,Party Votes:,R,34723,
ME,Maine,2,H4ME02200 ,Emily Ann,Cain,,D,19906,118556
ME,Maine,2,H4ME02218 ,Troy Dale ,Jackson,,D,8116,
ME,Maine,2,n/a,,,Party Votes:,D,28022,
ME,Maine,2,H2ME02154,Blaine,Richardson,,IND,,31336
ME,Maine,2,n/a,,Others,,W,,248
ME,Maine,2,n/a,,,District Votes:,,62745,283448
ME,Maine,H,n/a,,,Total State Votes:,,110756,592346
ME,Maine,,n/a,,,,,,
,,,n/a,,,,,,
MD,Maryland,1,H8MD01094,Andy,Harris,,R,45477,176342
MD,Maryland,1,H4MD01127,'Jonathan, Jr. ',Goff,,R,12913,
MD,Maryland,1,n/a,,,Party Votes:,R,58390,
MD,Maryland,1,H4MD01101,Bill,Tilghman,,D,19937,73843
MD,Maryland,1,H2MD01154,John J.,LaFerla,,D,14965,
MD,Maryland,1,n/a,,,Party Votes:,D,34902,
MD,Maryland,1,n/a,,Scattered,,W,,233
MD,Maryland,1,n/a,,,District Votes:,,93292,250418
MD,Maryland,2,H2MD02160,C. A. Dutch ,Ruppersberger,,D,43614,120412
MD,Maryland,2,H4MD02190,Paul,Rundquist,,D,6450,
MD,Maryland,2,H2MD02020,Blaine,Taylor,,D,6164,
MD,Maryland,2,n/a,,,Party Votes:,D,56228,
MD,Maryland,2,H4MD02174,David ,Banach,,R,14990,70411
MD,Maryland,2,n/a,,,Party Votes:,R,14990,
MD,Maryland,2,H4MD02166,Ian,Schlakman,,GRE,*,5326
MD,Maryland,2,n/a,,Scattered,,W,,205
MD,Maryland,2,n/a,,,District Votes:,,71218,196354
MD,Maryland,3,H6MD03292,John ,Sarbanes,,D,54926,128594
MD,Maryland,3,H4MD03115,Matthew,Molyett,,D,9564,
MD,Maryland,3,n/a,,,Party Votes:,D,64490,
MD,Maryland,3,H4MD03123 ,Charles A.,Long,,R,7597,87029
MD,Maryland,3,H8MD03082,Thomas E. "Pinkston",Harris,,R,7303,
MD,Maryland,3,H2MD03127,Michael,Jackson,,R,2524,
MD,Maryland,3,n/a,,,Party Votes:,R,17424,
MD,Maryland,3,n/a,,Scattered,,W,,323
MD,Maryland,3,n/a,,,District Votes:,,81914,215946
